Area_sqft,Bedrooms,Bathrooms,Year_Built,Property_Type,Parking_Spaces,Furnishing_Status,Floor_Number,Distance_to_City_Center_km,Balcony_Count,Lift_Availability,Direction_Facing,Banjara Hills,Gachibowli,HITEC City,Jubilee Hills,Kokapet,Kompally,Kondapur,Kukatpally,LB Nagar,Madhapur,Manikonda,Medchal,Mehdipatnam,Miyapur,Moinabad,Nallagandla,Narsingi,Secunderabad,Uppal,Price_INR
2791,5,4,2020,0.5,2,0.5,0,38.07,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50627212
2833,1,1,2016,1,1,1,19,15.73,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29229009
1584,2,2,2019,1,1,0.5,16,36.05,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9654643
4955,4,2,2020,1,1,0,9,34.02,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31980309
3785,2,2,2020,1,2,1,15,17.74,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44824210
4517,5,3,2018,1,1,0,4,28.41,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45978490
3304,3,2,2019,1,2,1,9,8.76,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24189100
874,2,3,2016,0.5,2,1,0,5.84,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16500372
1482,2,2,2017,1,1,0,18,0.58,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11298527
2958,1,1,2019,1,1,0,3,3.4,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15338078
2447,5,3,2016,0.5,2,1,0,25.32,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37773049
3147,2,2,2020,0,1,1,1,35.47,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40903388
1375,4,3,2016,1,2,1,21,39.12,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17825809
2206,1,1,2022,1,2,0.5,9,19.56,1,1,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16356206
589,1,2,2017,1,2,0.5,10,6.05,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4880060
3134,1,1,2015,1,2,0.5,7,0.51,1,1,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67650902
3405,1,1,2019,1,1,1,11,39.4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53977263
2299,4,3,2022,0.5,2,1,0,32.8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45954248
1667,5,3,2023,1,1,1,20,21.18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22246266
1928,3,4,2023,1,2,0.5,21,10.2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15404859
3602,4,3,2015,0,2,0.5,2,20.95,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26248224
3956,1,1,2017,1,2,0.5,10,33.62,1,1,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40133407
4290,3,2,2018,1,1,0.5,6,22.46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28909369
1046,2,1,2022,1,2,0,14,39.82,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21593787
3288,2,1,2020,1,1,0,10,4.72,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14390088
2835,4,2,2018,1,2,0.5,24,39.31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26940618
1000,3,3,2019,1,2,0,24,23.59,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11794787
2763,5,3,2022,1,2,0.5,6,22.93,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33112974
2461,3,2,2017,1,1,0,18,14.69,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15793133
641,2,3,2015,1,2,0,15,2.12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7508746
2441,5,4,2018,1,2,0.5,20,30.54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23872704
3224,5,3,2020,0.5,1,1,0,11.4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56508009
3012,2,2,2017,0.5,1,0,0,14.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24302783
1763,3,4,2014,0.5,2,0.5,0,21.58,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46534060
1878,5,4,2021,1,1,0,12,2.75,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14902797
2956,4,3,2018,1,1,1,20,0.93,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28778897
1175,2,3,2023,1,2,0,16,4.65,0,1,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9273516
4414,5,3,2015,0,0,0.5,2,29.55,3,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73696508
434,1,2,2016,0,2,0,2,8.03,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3128385
3552,2,1,2023,0.5,2,0,0,20.81,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43888268
2355,3,3,2023,1,2,0,21,7.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14409365
1985,3,3,2018,0.5,2,0.5,0,11.75,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22085067
4343,3,2,2017,0,1,1,0,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58258493
3473,2,2,2022,1,1,0.5,15,14.98,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76765795
1421,4,3,2022,1,1,0.5,6,5.89,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18716967
3861,1,1,2021,1,1,0,18,22.55,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18723304
3013,5,4,2015,1,1,0.5,23,33.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21962146
4243,2,2,2018,1,2,1,20,35.2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27462460
1900,1,1,2021,0,2,0.5,2,37.37,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29251618
561,1,1,2021,0,2,0.5,2,5.39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3893040
4697,4,4,2020,0,2,1,3,20.9,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68263246
2381,4,3,2017,1,1,1,11,5.03,3,1,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16933162
1395,2,3,2016,1,1,1,24,12.61,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9776249
3742,4,4,2021,1,1,0.5,8,9.64,0,1,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52283119
4951,4,2,2021,1,1,1,17,0.99,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41479660
4198,4,3,2023,1,2,1,16,37.31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34073943
1675,4,2,2018,0.5,1,0,0,31.38,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29561873
1416,2,2,2016,1,1,1,9,21,2,1,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12009952
737,3,4,2018,1,1,0.5,7,14.12,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8731944
1278,4,4,2017,1,1,0.5,19,16.76,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11464972
1476,4,4,2021,0,1,0,3,8.61,3,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13744697
4393,3,2,2015,1,2,1,12,38.74,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55006035
779,1,1,2021,1,2,0,20,11.78,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6121211
892,1,1,2023,0,1,0.5,1,3.45,0,0,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25322661
2462,5,3,2019,0,1,1,0,22.8,0,1,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31224821
4284,4,3,2017,1,1,0.5,7,30.08,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24535096
464,1,1,2016,1,2,0,9,38.87,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10360610
2968,2,1,2023,1,1,0.5,4,25.05,2,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42063779
2427,5,3,2018,1,1,0.5,17,7.78,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18480666
3095,3,4,2019,0,0,0.5,1,15.95,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53152624
1895,4,2,2014,0,2,1,1,13.01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12785288
791,2,1,2014,1,2,0,21,1.27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4984443
4914,2,2,2023,1,2,0,8,15.99,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34934048
4874,3,4,2016,1,2,0.5,15,32.08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36292889
3961,3,2,2015,1,2,1,19,16.51,3,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63340465
2678,5,3,2014,1,1,0.5,20,34.15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20165469
3499,4,4,2021,1,1,0,16,29.85,3,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17893487
600,1,1,2014,1,1,0.5,15,28.91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4255952
3504,2,1,2023,0,1,1,0,15.55,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39561347
4998,2,1,2021,1,1,0.5,24,2.61,0,1,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51882554
2854,2,3,2018,1,2,0.5,4,35.36,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15011759
4045,2,3,2017,1,1,1,18,25.71,1,1,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55594338
1204,1,2,2021,0.5,1,0,0,4.08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8644349
3131,1,1,2021,1,1,0,22,3.72,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54372784
3173,5,3,2021,0,1,0,3,24.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17859727
1970,4,2,2016,0,2,0.5,2,17.18,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9902670
3090,1,1,2021,0,2,0.5,3,8.03,0,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38747146
4240,5,3,2014,1,1,0.5,10,9.96,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29643939
1428,3,4,2017,0,1,1,3,15.74,3,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23999821
902,4,4,2018,1,1,0.5,10,30.13,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8050023
4893,4,2,2019,0.5,2,1,0,8.28,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99053924
1270,3,2,2018,0,1,0.5,3,28.24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8563529
4888,5,3,2018,1,2,0.5,3,7.57,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65223845
606,1,1,2018,0,2,1,0,30.67,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10230653
1884,1,1,2022,1,2,0,9,36.06,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11535326
1263,3,2,2023,1,1,0.5,12,17.99,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12481243
3190,1,1,2023,1,1,1,22,25.83,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31668929
963,2,1,2016,0,2,1,0,11.02,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8137710
4591,4,2,2015,1,2,1,15,37.14,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33679146
2157,4,2,2023,0,1,0,3,17.32,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12504418
2078,3,2,2015,0.5,1,1,0,20.12,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74264337
3642,4,3,2021,0.5,1,1,0,10.83,2,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28461791
1459,4,4,2018,1,1,1,22,8.16,1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12098747
2122,4,2,2018,1,1,0.5,4,9.48,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19197839
3714,2,3,2019,1,1,0.5,24,19.3,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28834415
3557,2,1,2022,1,1,1,6,5.94,0,1,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44385319
3025,4,2,2020,1,2,1,11,15.82,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31265117
3129,5,3,2018,1,1,0,13,15.59,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30499307
1997,1,1,2018,0.5,1,0.5,0,17.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21778431
3460,2,3,2023,1,1,1,5,17.17,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59269374
3093,4,4,2022,1,2,0.5,17,11.34,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32849565
4027,4,2,2022,1,1,1,5,14.99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29994948
1763,4,3,2015,1,2,0,18,36.14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23444595
2381,1,1,2020,1,2,0.5,11,1.98,1,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25996155
2063,3,3,2023,1,1,1,17,3.97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15881441
1929,5,4,2014,0,2,0.5,2,37.19,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12944455
2438,3,4,2017,0,2,1,0,11.2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83313989
3702,5,4,2015,1,1,0.5,3,12.51,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22811367
2637,5,4,2023,0.5,2,0,0,14.09,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24509074
1706,4,4,2022,0,1,0.5,0,4.58,0,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17644012
4429,2,2,2019,1,2,0.5,19,30.87,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30422275
3075,4,3,2017,0.5,1,1,0,6.95,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58260998
1682,1,1,2016,1,1,0.5,20,28.22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13307137
1109,3,4,2017,1,2,1,13,9.68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10884888
4813,2,2,2015,1,1,0.5,20,27.44,1,1,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42349615
4148,5,3,2018,0.5,1,0,0,38.89,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49509825
1063,3,4,2022,1,2,1,8,20.63,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27125019
2398,4,3,2019,1,2,0,24,13.1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28876846
3845,2,3,2015,1,1,0.5,6,15.43,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24475876
4143,2,2,2019,1,1,1,14,15.66,1,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97594022
1895,5,4,2022,0.5,1,1,0,5.45,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15203822
3704,2,1,2017,0.5,1,0.5,0,32.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106323577
4163,2,1,2014,1,1,0,23,15.48,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27813948
2253,4,2,2015,1,1,0.5,23,28.86,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16489981
1691,3,3,2018,0,0,0,0,11.18,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13782541
3981,1,1,2023,1,1,0.5,20,14.58,1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25099474
3857,3,4,2020,0.5,2,1,0,35.53,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33939501
2036,2,2,2021,1,1,0.5,23,17.29,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43720881
4096,5,4,2016,1,2,0.5,6,14.45,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96937194
3399,1,1,2022,0,2,0.5,3,12.89,1,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42183362
3552,1,2,2015,1,1,1,24,35.77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24960569
1098,3,4,2017,0.5,1,1,0,17.2,1,0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15050200
2560,1,2,2017,1,2,0,24,35.15,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13814286
4497,5,3,2019,1,2,0,7,12.36,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25129258
1254,1,2,2023,0.5,1,0,0,39.14,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17882869
3874,3,4,2019,0,1,0.5,2,20.36,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89494165
2107,1,1,2016,0.5,1,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33288550
3177,4,3,2022,0,1,0.5,2,17.25,2,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47346407
2133,5,3,2018,0,2,0.5,0,27.43,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28147593
3910,1,1,2015,0.5,1,1,0,35.57,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43947759
602,2,1,2019,0,1,0.5,0,5.52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6590230
3655,4,3,2016,1,1,1,11,22.56,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36387379
4618,4,4,2021,0.5,1,1,0,21.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54435564
4896,4,4,2016,1,1,0.5,17,13.47,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95455877
1166,4,3,2018,1,1,1,24,16.64,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14692751
4789,4,4,2017,1,2,0.5,18,12.53,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40029671
2727,4,2,2017,0,2,1,1,12.44,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16675404
3331,5,4,2015,0,2,0.5,2,21.57,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27827665
597,1,1,2021,1,1,0,22,2.87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3747008
2330,5,4,2016,1,2,0.5,5,19.51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14390521
3982,3,2,2017,1,2,0,23,13.31,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25684656
1008,1,1,2019,0,2,0,2,18.84,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13657733
3672,1,1,2022,0,2,0,2,39.01,0,0,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31561922
1547,2,1,2017,1,2,0,7,29.78,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29900114
4682,3,3,2016,0.5,2,1,0,34.53,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49891653
3797,4,4,2018,1,2,0.5,17,15.17,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21914404
2911,4,3,2022,1,1,0,19,28.38,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27230269
2194,3,2,2014,0.5,1,1,0,18.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25458404
1059,4,2,2018,1,2,0.5,7,24.09,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14003200
3211,2,1,2017,1,1,0,23,17.8,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33249829
1769,5,4,2018,1,1,0,6,5.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17363476
2386,1,2,2020,1,1,0,19,37.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11398135
546,1,1,2020,1,1,0.5,17,28.4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3724141
3619,1,1,2020,0,1,0,0,24.22,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18439262
3311,5,4,2014,1,1,0.5,17,22.65,1,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16790412
2134,3,2,2022,0,1,1,1,29.05,3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17024676
2243,5,4,2020,1,1,0,18,21.54,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22089029
888,4,4,2017,1,1,0,9,9.03,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5268448
